starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 11 17:02:34 2022	1670749354	0	400	400	399
Sun Dec 11 17:02:32 2022	1670749352	0	400	400	399
Sun Dec 11 17:02:34 2022	1670749354	0	400	400	399
Sun Dec 11 17:02:32 2022	1670749352	0	400	400	399
Sun Dec 11 17:02:36 2022	1670749356	0	400	400	398
Sun Dec 11 17:02:39 2022	1670749359	0	400	400	399
Sun Dec 11 17:02:35 2022	1670749355	0	400	400	399
Sun Dec 11 17:02:36 2022	1670749356	0	400	400	399
Sun Dec 11 17:02:34 2022	1670749354	0	400	400	399
Sun Dec 11 17:02:37 2022	1670749357	0	400	400	399
Sun Dec 11 17:02:36 2022	1670749356	0	400	400	400
Sun Dec 11 17:02:39 2022	1670749359	0	400	400	400
Sun Dec 11 17:02:34 2022	1670749354	0	400	400	400
Sun Dec 11 17:02:37 2022	1670749357	0	400	400	399
Sun Dec 11 17:02:39 2022	1670749359	1	400	400	399
Sun Dec 11 17:02:38 2022	1670749358	0	400	400	400
Sun Dec 11 17:02:36 2022	1670749356	0	400	400	399
Sun Dec 11 17:02:32 2022	1670749352	0	400	400	392
Sun Dec 11 17:02:33 2022	1670749353	0	400	400	399
Sun Dec 11 17:02:35 2022	1670749355	0	400	401	400
Sun Dec 11 17:02:39 2022	1670749359	0	400	401	400
Sun Dec 11 17:02:37 2022	1670749357	0	400	401	400
Sun Dec 11 17:02:37 2022	1670749357	0	401	401	400
Sun Dec 11 17:02:38 2022	1670749358	0	401	401	400
Sun Dec 11 17:02:38 2022	1670749358	0	401	401	400
Sun Dec 11 17:02:32 2022	1670749352	0	401	401	400
Sun Dec 11 17:02:33 2022	1670749353	0	401	401	400
Sun Dec 11 17:02:34 2022	1670749354	0	401	401	401
Sun Dec 11 17:02:33 2022	1670749353	0	401	401	400
Sun Dec 11 17:02:33 2022	1670749353	0	401	401	401
Sun Dec 11 17:02:39 2022	1670749359	0	401	401	401
Sun Dec 11 17:02:36 2022	1670749356	0	401	401	400
Sun Dec 11 17:02:34 2022	1670749354	0	401	401	401
Sun Dec 11 17:02:38 2022	1670749358	0	401	401	401
Sun Dec 11 17:02:36 2022	1670749356	0	401	401	401
Sun Dec 11 17:02:36 2022	1670749356	0	401	401	401
Sun Dec 11 17:02:33 2022	1670749353	0	401	402	399
Sun Dec 11 17:02:37 2022	1670749357	0	401	402	401
Sun Dec 11 17:02:36 2022	1670749356	0	401	402	401
Sun Dec 11 17:02:37 2022	1670749357	1	401	402	398
Sun Dec 11 17:02:36 2022	1670749356	0	402	402	401
Sun Dec 11 17:02:36 2022	1670749356	0	402	402	401
Sun Dec 11 17:02:32 2022	1670749352	0	402	402	401
Sun Dec 11 17:02:36 2022	1670749356	0	402	402	399
Sun Dec 11 17:02:37 2022	1670749357	0	402	402	402
Sun Dec 11 17:02:36 2022	1670749356	0	402	402	401
Sun Dec 11 17:02:34 2022	1670749354	0	402	402	401
Sun Dec 11 17:02:34 2022	1670749354	0	402	402	401
Sun Dec 11 17:02:37 2022	1670749357	0	402	402	400
Sun Dec 11 17:02:36 2022	1670749356	0	402	402	401
Sun Dec 11 17:02:35 2022	1670749355	0	402	402	401
Sun Dec 11 17:02:38 2022	1670749358	0	402	402	402
Sun Dec 11 17:02:35 2022	1670749355	0	402	402	402
Sun Dec 11 17:02:34 2022	1670749354	0	402	402	402
Sun Dec 11 17:02:34 2022	1670749354	0	402	402	402
Sun Dec 11 17:02:38 2022	1670749358	1	402	402	401
Sun Dec 11 17:02:33 2022	1670749353	0	402	402	402
Sun Dec 11 17:02:36 2022	1670749356	0	402	402	402
Sun Dec 11 17:02:32 2022	1670749352	0	402	403	402
Sun Dec 11 17:02:34 2022	1670749354	0	402	403	401
Sun Dec 11 17:02:36 2022	1670749356	0	403	403	402
Sun Dec 11 17:02:37 2022	1670749357	0	402	403	402
Sun Dec 11 17:02:40 2022	1670749360	0	402	403	402
Sun Dec 11 17:02:37 2022	1670749357	0	403	403	402
Sun Dec 11 17:02:39 2022	1670749359	0	403	403	402
Sun Dec 11 17:02:38 2022	1670749358	0	403	403	402
Sun Dec 11 17:02:33 2022	1670749353	0	403	403	402
Sun Dec 11 17:02:35 2022	1670749355	0	403	403	403
Sun Dec 11 17:02:33 2022	1670749353	0	403	403	403
Sun Dec 11 17:02:36 2022	1670749356	0	403	403	402
Sun Dec 11 17:02:36 2022	1670749356	0	403	403	403
Sun Dec 11 17:02:37 2022	1670749357	0	403	403	402
Sun Dec 11 17:02:38 2022	1670749358	0	403	403	402
Sun Dec 11 17:02:38 2022	1670749358	0	403	403	402
Sun Dec 11 17:02:39 2022	1670749359	0	403	403	403
Sun Dec 11 17:02:34 2022	1670749354	0	403	403	403
Sun Dec 11 17:02:37 2022	1670749357	0	403	403	402
Sun Dec 11 17:02:32 2022	1670749352	0	403	403	403
Sun Dec 11 17:02:37 2022	1670749357	0	403	403	403
Sun Dec 11 17:02:34 2022	1670749354	0	403	403	403
Sun Dec 11 17:02:35 2022	1670749355	0	403	403	402
Sun Dec 11 17:02:34 2022	1670749354	0	403	403	403
Sun Dec 11 17:02:39 2022	1670749359	0	403	404	403
Sun Dec 11 17:02:32 2022	1670749352	0	403	404	403
Sun Dec 11 17:02:36 2022	1670749356	1	403	404	402
Sun Dec 11 17:02:36 2022	1670749356	0	403	404	403
Sun Dec 11 17:02:34 2022	1670749354	0	403	404	403
Sun Dec 11 17:02:37 2022	1670749357	0	403	404	402
Sun Dec 11 17:02:35 2022	1670749355	0	403	404	403
Sun Dec 11 17:02:34 2022	1670749354	0	403	404	403
Sun Dec 11 17:02:32 2022	1670749352	0	403	404	403
Sun Dec 11 17:02:33 2022	1670749353	0	403	404	403
Sun Dec 11 17:02:36 2022	1670749356	0	404	404	402
Sun Dec 11 17:02:32 2022	1670749352	4	400	404	400
Sun Dec 11 17:02:33 2022	1670749353	0	404	404	403
Sun Dec 11 17:02:32 2022	1670749352	0	404	404	403
Sun Dec 11 17:02:39 2022	1670749359	0	404	404	403
Sun Dec 11 17:02:32 2022	1670749352	3	401	404	400
Sun Dec 11 17:02:32 2022	1670749352	4	400	404	399
Sun Dec 11 17:02:36 2022	1670749356	0	404	404	403
Sun Dec 11 17:02:37 2022	1670749357	0	404	404	403
Sun Dec 11 17:02:36 2022	1670749356	0	404	404	403
Sun Dec 11 17:02:40 2022	1670749360	0	404	404	404
Sun Dec 11 17:02:37 2022	1670749357	0	404	404	403
Sun Dec 11 17:02:34 2022	1670749354	0	404	404	403
Sun Dec 11 17:02:39 2022	1670749359	0	404	404	404
Sun Dec 11 17:02:32 2022	1670749352	3	401	404	400
Sun Dec 11 17:02:34 2022	1670749354	0	404	404	403
Sun Dec 11 17:02:39 2022	1670749359	0	404	404	404
Sun Dec 11 17:02:34 2022	1670749354	0	404	404	403
Sun Dec 11 17:02:39 2022	1670749359	0	404	404	404
Sun Dec 11 17:02:36 2022	1670749356	0	404	404	404
Sun Dec 11 17:02:37 2022	1670749357	0	404	405	404
Sun Dec 11 17:02:39 2022	1670749359	0	404	405	403
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	404
Sun Dec 11 17:02:38 2022	1670749358	0	404	405	404
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	404
Sun Dec 11 17:02:33 2022	1670749353	0	405	405	404
Sun Dec 11 17:02:35 2022	1670749355	0	405	405	404
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	404
Sun Dec 11 17:02:38 2022	1670749358	0	405	405	404
Sun Dec 11 17:02:32 2022	1670749352	0	405	405	404
Sun Dec 11 17:02:34 2022	1670749354	0	405	405	404
Sun Dec 11 17:02:35 2022	1670749355	0	405	405	404
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	404
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	404
Sun Dec 11 17:02:32 2022	1670749352	0	405	405	404
Sun Dec 11 17:02:37 2022	1670749357	0	405	405	405
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	405
Sun Dec 11 17:02:38 2022	1670749358	0	405	405	405
Sun Dec 11 17:02:32 2022	1670749352	3	402	405	401
Sun Dec 11 17:02:34 2022	1670749354	0	405	405	404
Sun Dec 11 17:02:36 2022	1670749356	0	405	405	405
Sun Dec 11 17:02:32 2022	1670749352	0	405	405	405
Sun Dec 11 17:02:35 2022	1670749355	0	405	405	405
Sun Dec 11 17:02:35 2022	1670749355	0	405	405	405
Sun Dec 11 17:02:39 2022	1670749359	0	405	406	405
Sun Dec 11 17:02:39 2022	1670749359	0	405	406	405
Sun Dec 11 17:02:36 2022	1670749356	0	406	406	405
Sun Dec 11 17:02:35 2022	1670749355	0	406	406	405
Sun Dec 11 17:02:33 2022	1670749353	0	406	406	405
Sun Dec 11 17:02:34 2022	1670749354	0	406	406	405
Sun Dec 11 17:02:35 2022	1670749355	0	405	406	405
Sun Dec 11 17:02:37 2022	1670749357	0	406	406	405
Sun Dec 11 17:02:36 2022	1670749356	0	406	406	405
Sun Dec 11 17:02:35 2022	1670749355	0	406	406	405
Sun Dec 11 17:02:37 2022	1670749357	0	406	406	405
Sun Dec 11 17:02:34 2022	1670749354	0	406	406	404
Sun Dec 11 17:02:40 2022	1670749360	0	406	406	405
Sun Dec 11 17:02:34 2022	1670749354	0	406	406	405
Sun Dec 11 17:02:32 2022	1670749352	0	406	406	405
Sun Dec 11 17:02:37 2022	1670749357	0	406	406	405
Sun Dec 11 17:02:35 2022	1670749355	0	406	406	405
Sun Dec 11 17:02:37 2022	1670749357	0	406	407	406
Sun Dec 11 17:02:35 2022	1670749355	0	406	407	406
Sun Dec 11 17:02:39 2022	1670749359	0	406	407	406
Sun Dec 11 17:02:35 2022	1670749355	0	407	407	406
Sun Dec 11 17:02:33 2022	1670749353	0	406	407	406
Sun Dec 11 17:02:34 2022	1670749354	0	407	407	406
Sun Dec 11 17:02:33 2022	1670749353	0	407	407	406
Sun Dec 11 17:02:37 2022	1670749357	0	407	407	406
Sun Dec 11 17:02:36 2022	1670749356	0	407	407	406
Sun Dec 11 17:02:35 2022	1670749355	0	407	407	406
Sun Dec 11 17:02:39 2022	1670749359	0	407	407	406
Sun Dec 11 17:02:34 2022	1670749354	0	407	407	406
Sun Dec 11 17:02:35 2022	1670749355	0	407	407	406
Sun Dec 11 17:02:39 2022	1670749359	0	407	407	406
Sun Dec 11 17:02:36 2022	1670749356	0	407	407	407
Sun Dec 11 17:02:39 2022	1670749359	0	407	407	407
Sun Dec 11 17:02:36 2022	1670749356	0	407	407	406
Sun Dec 11 17:02:37 2022	1670749357	0	407	407	406
Sun Dec 11 17:02:35 2022	1670749355	0	407	407	407
Sun Dec 11 17:02:37 2022	1670749357	0	407	407	407
Sun Dec 11 17:02:36 2022	1670749356	0	407	407	407
Sun Dec 11 17:02:37 2022	1670749357	0	407	407	407
Sun Dec 11 17:02:33 2022	1670749353	0	407	407	407
Sun Dec 11 17:02:38 2022	1670749358	0	407	407	407
Sun Dec 11 17:02:37 2022	1670749357	0	407	407	406
Sun Dec 11 17:02:33 2022	1670749353	0	407	407	407
Sun Dec 11 17:02:36 2022	1670749356	0	407	407	407
Sun Dec 11 17:02:38 2022	1670749358	0	407	408	407
Sun Dec 11 17:02:35 2022	1670749355	0	407	408	407
Sun Dec 11 17:02:33 2022	1670749353	1	407	408	406
Sun Dec 11 17:02:33 2022	1670749353	0	407	408	407
Sun Dec 11 17:02:36 2022	1670749356	0	408	408	407
Sun Dec 11 17:02:36 2022	1670749356	0	407	408	407
Sun Dec 11 17:02:39 2022	1670749359	0	407	408	407
Sun Dec 11 17:02:37 2022	1670749357	0	407	408	407
Sun Dec 11 17:02:35 2022	1670749355	0	408	408	407
Sun Dec 11 17:02:38 2022	1670749358	0	407	408	407
Sun Dec 11 17:02:36 2022	1670749356	0	408	408	403
Sun Dec 11 17:02:36 2022	1670749356	0	408	408	407
Sun Dec 11 17:02:34 2022	1670749354	0	408	408	407
Sun Dec 11 17:02:34 2022	1670749354	0	408	408	407
Sun Dec 11 17:02:35 2022	1670749355	0	408	408	407
Sun Dec 11 17:02:32 2022	1670749352	0	408	408	407
Sun Dec 11 17:02:39 2022	1670749359	0	408	408	407
Sun Dec 11 17:02:35 2022	1670749355	0	408	408	407
Sun Dec 11 17:02:33 2022	1670749353	0	408	408	407
Sun Dec 11 17:02:36 2022	1670749356	0	408	408	408
Sun Dec 11 17:02:35 2022	1670749355	0	408	408	407
Sun Dec 11 17:02:35 2022	1670749355	0	408	408	408
Sun Dec 11 17:02:36 2022	1670749356	0	408	408	408
Sun Dec 11 17:02:32 2022	1670749352	0	408	408	408
Sun Dec 11 17:02:33 2022	1670749353	0	408	408	408
Sun Dec 11 17:02:32 2022	1670749352	0	408	408	408
Sun Dec 11 17:02:33 2022	1670749353	0	408	408	408
Sun Dec 11 17:02:38 2022	1670749358	0	408	408	408
Sun Dec 11 17:02:38 2022	1670749358	0	408	409	407
Sun Dec 11 17:02:35 2022	1670749355	0	408	409	408
Sun Dec 11 17:02:39 2022	1670749359	0	408	409	408
Sun Dec 11 17:02:37 2022	1670749357	0	408	409	408
Sun Dec 11 17:02:39 2022	1670749359	0	409	409	408
Sun Dec 11 17:02:33 2022	1670749353	0	408	409	408
Sun Dec 11 17:02:38 2022	1670749358	0	409	409	408
Sun Dec 11 17:02:37 2022	1670749357	0	409	409	408
Sun Dec 11 17:02:39 2022	1670749359	0	409	409	408
Sun Dec 11 17:02:36 2022	1670749356	0	409	409	408
Sun Dec 11 17:02:35 2022	1670749355	0	409	409	408
Sun Dec 11 17:02:39 2022	1670749359	0	409	409	408
Sun Dec 11 17:02:38 2022	1670749358	0	409	409	408
Sun Dec 11 17:02:38 2022	1670749358	0	409	409	409
Sun Dec 11 17:02:33 2022	1670749353	0	409	409	408
Sun Dec 11 17:02:36 2022	1670749356	0	409	409	408
Sun Dec 11 17:02:33 2022	1670749353	0	409	409	408
Sun Dec 11 17:02:37 2022	1670749357	0	409	409	409
Sun Dec 11 17:02:36 2022	1670749356	0	409	409	408
Sun Dec 11 17:02:39 2022	1670749359	0	409	409	409
Sun Dec 11 17:02:35 2022	1670749355	0	409	409	408
Sun Dec 11 17:02:34 2022	1670749354	0	409	409	408
Sun Dec 11 17:02:35 2022	1670749355	0	409	409	409
Sun Dec 11 17:02:37 2022	1670749357	0	409	409	409
Sun Dec 11 17:02:34 2022	1670749354	0	409	409	409
Sun Dec 11 17:02:34 2022	1670749354	0	409	409	409
Sun Dec 11 17:02:39 2022	1670749359	0	409	409	409
Sun Dec 11 17:02:33 2022	1670749353	0	409	409	409
Sun Dec 11 17:02:35 2022	1670749355	0	409	409	409
Sun Dec 11 17:02:37 2022	1670749357	0	409	410	409
Sun Dec 11 17:02:37 2022	1670749357	0	409	410	409
Sun Dec 11 17:02:34 2022	1670749354	0	409	410	409
Sun Dec 11 17:02:36 2022	1670749356	0	410	410	408
Sun Dec 11 17:02:37 2022	1670749357	0	409	410	409
Sun Dec 11 17:02:37 2022	1670749357	0	410	410	409
Sun Dec 11 17:02:34 2022	1670749354	0	409	410	409
Sun Dec 11 17:02:37 2022	1670749357	0	410	410	409
Sun Dec 11 17:02:39 2022	1670749359	0	410	410	409
Sun Dec 11 17:02:32 2022	1670749352	0	410	410	409
Sun Dec 11 17:02:39 2022	1670749359	0	410	410	409
Sun Dec 11 17:02:33 2022	1670749353	0	410	410	410
Sun Dec 11 17:02:32 2022	1670749352	0	410	410	409
Sun Dec 11 17:02:37 2022	1670749357	0	410	410	409
Sun Dec 11 17:02:38 2022	1670749358	0	410	410	410
Sun Dec 11 17:02:36 2022	1670749356	1	409	410	409
Sun Dec 11 17:02:36 2022	1670749356	0	410	410	409
Sun Dec 11 17:02:32 2022	1670749352	0	410	410	409
Sun Dec 11 17:02:33 2022	1670749353	0	410	410	409
Sun Dec 11 17:02:34 2022	1670749354	0	410	410	405
Sun Dec 11 17:02:36 2022	1670749356	0	410	410	409
Sun Dec 11 17:02:34 2022	1670749354	0	410	410	410
Sun Dec 11 17:02:39 2022	1670749359	0	410	410	410
Sun Dec 11 17:02:38 2022	1670749358	0	410	410	410
Sun Dec 11 17:02:35 2022	1670749355	0	410	410	410
Sun Dec 11 17:02:39 2022	1670749359	0	410	410	409
Sun Dec 11 17:02:39 2022	1670749359	2	408	410	408
Sun Dec 11 17:02:32 2022	1670749352	0	410	410	410
Sun Dec 11 17:02:36 2022	1670749356	0	410	410	410
Sun Dec 11 17:02:34 2022	1670749354	0	410	410	410
Sun Dec 11 17:02:33 2022	1670749353	0	410	410	410
Sun Dec 11 17:02:36 2022	1670749356	0	410	410	410
Sun Dec 11 17:02:36 2022	1670749356	0	410	411	410
Sun Dec 11 17:02:34 2022	1670749354	0	410	411	410
Sun Dec 11 17:02:36 2022	1670749356	0	410	411	409
Sun Dec 11 17:02:34 2022	1670749354	0	410	411	410
Sun Dec 11 17:02:35 2022	1670749355	0	410	411	410
Sun Dec 11 17:02:35 2022	1670749355	0	410	411	410
Sun Dec 11 17:02:37 2022	1670749357	0	410	411	409
Sun Dec 11 17:02:34 2022	1670749354	0	410	411	410
Sun Dec 11 17:02:36 2022	1670749356	0	411	411	410
Sun Dec 11 17:02:35 2022	1670749355	0	410	411	410
Sun Dec 11 17:02:38 2022	1670749358	0	411	411	410
Sun Dec 11 17:02:33 2022	1670749353	0	411	411	410
Sun Dec 11 17:02:39 2022	1670749359	0	411	411	410
Sun Dec 11 17:02:34 2022	1670749354	0	411	411	410
Sun Dec 11 17:02:39 2022	1670749359	0	411	411	410
Sun Dec 11 17:02:39 2022	1670749359	0	411	411	410
Sun Dec 11 17:02:35 2022	1670749355	0	411	411	410
Sun Dec 11 17:02:36 2022	1670749356	0	411	411	410
Sun Dec 11 17:02:38 2022	1670749358	0	411	411	409
Sun Dec 11 17:02:37 2022	1670749357	0	411	411	408
Sun Dec 11 17:02:32 2022	1670749352	3	408	411	408
Sun Dec 11 17:02:38 2022	1670749358	0	411	411	411
Sun Dec 11 17:02:34 2022	1670749354	0	411	411	411
Sun Dec 11 17:02:33 2022	1670749353	0	411	411	411
Sun Dec 11 17:02:38 2022	1670749358	0	411	411	411
Sun Dec 11 17:02:39 2022	1670749359	0	411	411	410
Sun Dec 11 17:02:34 2022	1670749354	0	411	411	410
Sun Dec 11 17:02:33 2022	1670749353	0	411	411	410
Sun Dec 11 17:02:39 2022	1670749359	0	411	411	411
Sun Dec 11 17:02:39 2022	1670749359	0	411	411	411
Sun Dec 11 17:02:37 2022	1670749357	0	411	411	410
Sun Dec 11 17:02:34 2022	1670749354	0	411	411	411
Sun Dec 11 17:02:37 2022	1670749357	0	411	411	410
Sun Dec 11 17:02:36 2022	1670749356	0	411	411	410
Sun Dec 11 17:02:38 2022	1670749358	0	411	411	411
Sun Dec 11 17:02:35 2022	1670749355	0	411	412	411
Sun Dec 11 17:02:33 2022	1670749353	0	411	412	411
Sun Dec 11 17:02:37 2022	1670749357	0	411	412	411
Sun Dec 11 17:02:37 2022	1670749357	0	411	412	411
Sun Dec 11 17:02:34 2022	1670749354	0	411	412	411
Sun Dec 11 17:02:39 2022	1670749359	0	411	412	411
Sun Dec 11 17:02:38 2022	1670749358	0	411	412	411
Sun Dec 11 17:02:37 2022	1670749357	0	411	412	411
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	411
Sun Dec 11 17:02:38 2022	1670749358	0	412	412	411
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	411
Sun Dec 11 17:02:39 2022	1670749359	0	412	412	411
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	410
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	411
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	411
Sun Dec 11 17:02:37 2022	1670749357	0	412	412	411
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	411
Sun Dec 11 17:02:32 2022	1670749352	0	412	412	410
Sun Dec 11 17:02:37 2022	1670749357	0	412	412	411
Sun Dec 11 17:02:34 2022	1670749354	0	412	412	411
Sun Dec 11 17:02:32 2022	1670749352	0	412	412	411
Sun Dec 11 17:02:33 2022	1670749353	0	412	412	412
Sun Dec 11 17:02:32 2022	1670749352	0	412	412	410
Sun Dec 11 17:02:34 2022	1670749354	0	412	412	411
Sun Dec 11 17:02:37 2022	1670749357	0	412	412	411
Sun Dec 11 17:02:37 2022	1670749357	0	412	412	411
Sun Dec 11 17:02:34 2022	1670749354	0	412	412	412
Sun Dec 11 17:02:33 2022	1670749353	0	412	412	412
Sun Dec 11 17:02:36 2022	1670749356	0	412	412	412
Sun Dec 11 17:02:32 2022	1670749352	3	409	412	409
Sun Dec 11 17:02:32 2022	1670749352	3	409	412	409
Sun Dec 11 17:02:34 2022	1670749354	0	412	412	412
Sun Dec 11 17:02:36 2022	1670749356	0	412	413	412
Sun Dec 11 17:02:32 2022	1670749352	1	412	413	412
Sun Dec 11 17:02:35 2022	1670749355	0	412	413	411
Sun Dec 11 17:02:36 2022	1670749356	0	412	413	412
Sun Dec 11 17:02:34 2022	1670749354	0	413	413	412
Sun Dec 11 17:02:36 2022	1670749356	0	413	413	412
Sun Dec 11 17:02:34 2022	1670749354	0	413	413	412
Sun Dec 11 17:02:33 2022	1670749353	0	413	413	412
Sun Dec 11 17:02:38 2022	1670749358	0	413	413	412
Sun Dec 11 17:02:34 2022	1670749354	0	413	413	412
Sun Dec 11 17:02:35 2022	1670749355	0	413	413	412
Sun Dec 11 17:02:32 2022	1670749352	0	413	413	412
